DateTime,High,Low,Open,Close,TotalVolume,PeriodVolume,Unknown
2024-03-01 14:17:00,138.4050,138.3400,138.3500,138.4050,17220429,97907,0
2024-03-01 14:16:00,138.3600,138.2700,138.2700,138.3500,17094848,70789,0
2024-03-01 14:15:00,138.2871,138.2550,138.2700,138.2800,17007682,21246,0
2024-03-01 14:14:00,138.2800,138.2300,138.2500,138.2600,16978795,27422,0
2024-03-01 14:13:00,138.2750,138.2200,138.2400,138.2400,16942319,32413,0
2024-03-01 14:12:00,138.2700,138.2300,138.2500,138.2450,16896634,30979,0
2024-03-01 14:11:00,138.2550,138.2200,138.2300,138.2500,16857585,34015,0
2024-03-01 14:10:00,138.2300,138.1500,138.1750,138.2250,16814828,29048,0
2024-03-01 14:09:00,138.1900,138.1600,138.1740,138.1700,16775248,36923,0
2024-03-01 14:08:00,138.1900,138.1600,138.1700,138.1800,16732910,21087,0
2024-03-01 14:07:00,138.2100,138.1300,138.1800,138.1650,16703432,14592,0
2024-03-01 14:06:00,138.1750,138.1200,138.1350,138.1700,16681767,29807,0
2024-03-01 14:05:00,138.1900,138.1225,138.1225,138.1350,16640288,37955,0
2024-03-01 14:04:00,138.1600,138.1000,138.1600,138.1200,16592930,29371,0
2024-03-01 14:03:00,138.1750,138.1450,138.1700,138.1600,16550410,27038,0
2024-03-01 14:02:00,138.2000,138.1600,138.1750,138.1700,16511820,24530,0
2024-03-01 14:01:00,138.2500,138.1800,138.2150,138.1800,16475701,21014,0
2024-03-01 14:00:00,138.2500,138.1400,138.1700,138.2139,16442652,49784,0
2024-03-01 13:59:00,138.2250,138.1500,138.2100,138.1660,16371867,25896,0
2024-03-01 13:58:00,138.2250,138.2000,138.2250,138.2000,16333483,34254,0
2024-03-01 13:57:00,138.2400,138.2100,138.2400,138.2250,16288256,25328,0
2024-03-01 13:56:00,138.2700,138.2100,138.2659,138.2350,16255691,33252,0
2024-03-01 13:55:00,138.2950,138.2500,138.2950,138.2650,16213517,25517,0
2024-03-01 13:54:00,138.3156,138.2850,138.3100,138.3000,16179062,19425,0
2024-03-01 13:53:00,138.3285,138.2850,138.3050,138.3000,16153650,39055,0
2024-03-01 13:52:00,138.3300,138.3000,138.3250,138.3000,16102777,46297,0
2024-03-01 13:51:00,138.3800,138.3205,138.3500,138.3250,16021062,65177,0
2024-03-01 13:50:00,138.3500,138.3016,138.3100,138.3350,15941552,47599,0
2024-03-01 13:49:00,138.3350,138.2666,138.3300,138.3000,15882548,45482,0
2024-03-01 13:48:00,138.3500,138.3100,138.3300,138.3200,15820566,31503,0
2024-03-01 13:47:00,138.3350,138.2950,138.2988,138.3300,15780060,29932,0
2024-03-01 13:46:00,138.3000,138.2400,138.2500,138.2901,15740770,27064,0
2024-03-01 13:45:00,138.2600,138.2188,138.2300,138.2401,15702406,33356,0
2024-03-01 13:44:00,138.2699,138.2100,138.2400,138.2200,15657987,41947,0
2024-03-01 13:43:00,138.2500,138.1900,138.2250,138.2300,15606166,48018,0
2024-03-01 13:42:00,138.2400,138.2019,138.2132,138.2200,15548766,21479,0
2024-03-01 13:41:00,138.2300,138.1800,138.2033,138.2153,15519562,47177,0
2024-03-01 13:40:00,138.2300,138.1900,138.2000,138.2050,15462679,22995,0
2024-03-01 13:39:00,138.2200,138.1800,138.2100,138.2000,15433109,24401,0
2024-03-01 13:38:00,138.2150,138.1499,138.1499,138.2036,15401160,47737,0
2024-03-01 13:37:00,138.1600,138.1100,138.1550,138.1400,15341912,19951,0
2024-03-01 13:36:00,138.1800,138.1200,138.1800,138.1550,15315748,18403,0
2024-03-01 13:35:00,138.2186,138.1450,138.2186,138.1600,15289260,26915,0
2024-03-01 13:34:00,138.2200,138.1800,138.1950,138.2161,15251231,17915,0
2024-03-01 13:33:00,138.2050,138.1800,138.1800,138.1900,15225141,16944,0
2024-03-01 13:32:00,138.1900,138.1450,138.1700,138.1850,15202187,22400,0
2024-03-01 13:31:00,138.2050,138.1500,138.2000,138.1700,15171798,18664,0
2024-03-01 13:30:00,138.2150,138.1600,138.1600,138.2000,15144155,29092,0
2024-03-01 13:29:00,138.1800,138.1400,138.1601,138.1500,15103494,13666,0
2024-03-01 13:28:00,138.1800,138.1450,138.1550,138.1700,15082771,17751,0
2024-03-01 13:27:00,138.1760,138.1350,138.1350,138.1600,15056805,15106,0
2024-03-01 13:26:00,138.1600,138.1100,138.1150,138.1350,15032830,17870,0
2024-03-01 13:25:00,138.1500,138.1050,138.1400,138.1150,15008110,20828,0
2024-03-01 13:24:00,138.1550,138.1000,138.1100,138.1350,14981204,25624,0
2024-03-01 13:23:00,138.1500,138.1000,138.1150,138.1100,14945116,16280,0
2024-03-01 13:22:00,138.1900,138.1150,138.1650,138.1200,14922512,29608,0
2024-03-01 13:21:00,138.1600,138.1000,138.1000,138.1600,14885220,35738,0
2024-03-01 13:20:00,138.1100,138.0350,138.0600,138.1050,14841167,44226,0
2024-03-01 13:19:00,138.0900,138.0547,138.0650,138.0600,14787519,27457,0
2024-03-01 13:18:00,138.1374,138.0636,138.1150,138.0650,14753263,15640,0
2024-03-01 13:17:00,138.1899,138.1000,138.1850,138.1100,14730698,28080,0
2024-03-01 13:16:00,138.1900,138.1600,138.1700,138.1900,14694571,40525,0
2024-03-01 13:15:00,138.1950,138.1650,138.1850,138.1700,14645568,16889,0
2024-03-01 13:14:00,138.2200,138.1750,138.1750,138.1800,14620931,20381,0
2024-03-01 13:13:00,138.2200,138.1500,138.2000,138.1746,14590930,50434,0
2024-03-01 13:12:00,138.2150,138.1600,138.1800,138.2099,14527554,28935,0
2024-03-01 13:11:00,138.1900,138.1600,138.1850,138.1750,14489688,26139,0
2024-03-01 13:10:00,138.2000,138.1400,138.1900,138.1900,14455309,25935,0
2024-03-01 13:09:00,138.2400,138.1800,138.2400,138.1850,14421779,40889,0
2024-03-01 13:08:00,138.2500,138.2101,138.2237,138.2350,14371305,36424,0
2024-03-01 13:07:00,138.2400,138.1500,138.1600,138.2263,14327363,42230,0
2024-03-01 13:06:00,138.1900,138.1500,138.1500,138.1600,14270064,29376,0
